text_id,content_text,author_type,model_source,prompt_complexity_score,perplexity_score,burstiness_index,syntactic_variability,semantic_coherence_score,lexical_diversity_ratio,readability_grade_level,generation_confidence_score
TXT_0207,language pattern content analysis analysis analysis data language research generation,AI,Human,0.457,57.65,0.74,0.709,0.425,0.257,15.5,0.464
TXT_0208,data algorithm generation model content data network generation algorithm model,Human,GPT-4,0.846,45.59,0.706,0.855,0.604,0.27,9.8,0.609
TXT_0209,language network pattern generation content language network model network language learning detection system,AI,GPT-4,0.452,39.01,0.534,0.686,0.055,0.411,13.6,0.006
TXT_0210,model language detection detection pattern network system detection system network language content learning,Human,Claude,0.424,64.94,0.679,0.018,0.842,0.243,15.4,0.99
TXT_0211,data learning network pattern research data model pattern learning network,Human,Gemini,0.157,94.52,0.874,0.216,0.648,0.129,14.6,0.364
TXT_0212,detection pattern language data algorithm generation learning model model analysis pattern,Human,GPT-4,0.426,70.46,0.432,0.069,0.404,0.857,7.3,0.848
TXT_0213,generation content detection system language generation system pattern system algorithm analysis,AI,Gemini,0.537,16.73,0.413,0.57,0.016,0.558,10.5,0.535
TXT_0214,pattern generation algorithm learning learning learning research system research,AI,GPT-4,0.023,51.46,0.764,0.756,0.592,0.861,8.8,0.13
TXT_0215,language algorithm pattern generation detection pattern system research,AI,Human,0.444,90.17,0.583,0.111,0.013,0.831,9.4,0.798
TXT_0216,network research language content generation content generation algorithm generation content pattern generation algorithm,AI,Claude,0.781,18.5,0.071,0.838,0.001,0.282,9.0,0.71
TXT_0217,generation detection network learning model algorithm data learning,AI,GPT-4,0.68,99.0,0.892,0.556,0.616,0.548,14.1,0.527
TXT_0218,system generation content model data learning generation analysis system model network,Human,Gemini,0.635,95.42,0.031,0.69,0.189,0.083,10.0,0.515
TXT_0219,analysis data language model analysis system network analysis research network data language system detection,Human,Human,0.91,17.04,0.748,0.971,0.192,0.915,10.8,0.087
TXT_0220,content pattern pattern content content model data system network,AI,Gemini,0.018,94.01,0.759,0.084,0.653,0.404,15.8,0.656
TXT_0221,data generation research pattern system content analysis detection system,AI,Human,0.557,42.68,0.953,0.901,0.054,0.394,5.7,0.911
TXT_0222,data learning generation research generation system pattern learning algorithm network analysis,AI,Claude,0.787,86.02,0.054,0.126,0.313,0.303,10.4,0.093
TXT_0223,data content algorithm analysis detection research content system learning pattern analysis,Human,Human,0.541,47.65,0.597,0.393,0.149,0.461,13.5,0.264
TXT_0224,model language network language detection network algorithm research algorithm model data,AI,Gemini,0.324,49.68,0.428,0.851,0.58,0.252,6.7,0.902
TXT_0225,language pattern generation data research research model system language model research analysis data,Human,Gemini,0.136,67.08,0.331,0.906,0.662,0.375,11.7,0.284
TXT_0226,system learning algorithm research language generation learning network pattern,Human,GPT-4,0.888,79.7,0.09,0.506,0.721,0.8,7.6,0.654
TXT_0227,content system generation content system language analysis language algorithm learning data pattern,AI,Human,0.471,13.04,0.563,0.594,0.255,0.834,14.5,0.535
TXT_0228,language data algorithm research network learning algorithm algorithm language analysis content network learning research,Human,Gemini,0.878,63.38,0.479,0.708,0.089,0.304,8.6,0.596
TXT_0229,model algorithm system analysis network language research learning model pattern learning analysis system,Human,GPT-4,0.586,26.81,0.105,0.833,0.079,0.469,8.6,0.416
TXT_0230,pattern model content network model detection content content analysis,AI,Claude,0.674,41.14,0.612,0.122,0.426,0.874,11.6,0.3
TXT_0231,data learning system generation learning model system research data research,Human,Gemini,0.804,41.32,0.738,0.81,0.946,0.053,7.0,0.049
TXT_0232,research language network learning generation language analysis generation research model,AI,GPT-4,0.659,52.22,0.767,0.481,0.218,0.889,8.1,0.744
TXT_0233,data algorithm generation research data system learning content network data model detection,Human,Gemini,0.398,40.07,0.905,0.451,0.257,0.219,9.6,0.746
TXT_0234,data model learning model generation content model content pattern,AI,Human,0.514,19.66,0.409,0.424,0.101,0.679,8.9,0.671
TXT_0235,analysis learning analysis research pattern learning data data content research content pattern network,AI,GPT-4,0.803,23.11,0.953,0.509,0.606,0.583,10.8,0.644
TXT_0236,algorithm network model learning content learning pattern language language,Human,Human,0.374,13.01,0.865,0.945,0.68,0.553,11.6,0.244
TXT_0237,pattern learning model pattern language research pattern detection model language system,AI,Claude,0.388,52.32,0.297,0.548,0.643,0.859,11.2,0.022
TXT_0238,data network data model generation content model detection model pattern,Human,Human,0.096,95.9,0.159,0.953,0.861,0.102,12.2,0.809
TXT_0239,algorithm content system data content data network content language data system language analysis learning,Human,GPT-4,0.915,20.41,0.435,0.18,0.486,0.347,8.4,0.491
TXT_0240,system algorithm analysis network system language learning pattern learning learning language,AI,Gemini,0.091,95.16,0.402,0.724,0.134,0.538,6.4,0.307
TXT_0241,system model network learning pattern data system detection language research system network pattern,Human,GPT-4,0.648,76.0,0.576,0.812,0.289,0.811,13.4,0.102
TXT_0242,network system model detection network research research network generation system generation algorithm system,AI,Human,0.413,67.37,0.583,0.679,0.662,0.216,14.4,0.063
TXT_0243,analysis pattern network generation model pattern network network model network pattern learning,Human,Human,0.406,68.07,0.75,0.607,0.613,0.803,7.8,0.349
TXT_0244,data analysis language detection network learning system network,Human,Gemini,0.68,84.41,0.51,0.565,0.531,0.4,9.5,0.805
TXT_0245,learning model learning language model algorithm data content pattern,AI,Claude,0.067,19.62,0.105,0.861,0.683,0.189,10.5,0.919
TXT_0246,pattern research generation network generation pattern analysis content analysis algorithm content,Human,GPT-4,0.594,55.43,0.858,0.822,0.637,0.759,10.9,0.897
TXT_0247,analysis model language pattern analysis generation model generation,Human,Gemini,0.772,72.74,0.31,0.122,0.881,0.091,12.3,0.92
TXT_0248,algorithm network language detection system model algorithm detection research algorithm analysis,Human,Gemini,0.828,62.81,0.971,0.849,0.586,0.515,5.5,0.908
TXT_0249,analysis language system algorithm pattern data network language analysis system network algorithm pattern algorithm,Human,Gemini,0.171,84.95,0.118,0.414,0.779,0.064,12.9,0.527
TXT_0250,system detection analysis pattern data algorithm data algorithm,Human,GPT-4,0.897,16.5,0.958,0.254,0.249,0.356,5.7,0.219
TXT_0251,network learning network algorithm generation learning detection learning,Human,GPT-4,0.656,72.16,0.091,0.87,0.678,0.601,10.2,0.798
TXT_0252,data system data language data detection generation network network research algorithm generation research language,Human,GPT-4,0.882,58.06,0.231,0.432,0.902,0.556,14.1,0.214
TXT_0253,algorithm algorithm content content model model data analysis,Human,Claude,0.485,44.12,0.047,0.808,0.386,0.405,10.0,0.267
TXT_0254,learning content content content generation system model generation network learning language,AI,Gemini,0.542,40.62,0.705,0.263,0.779,0.429,6.6,0.233
TXT_0255,algorithm model research pattern network language model detection generation analysis,Human,Human,0.919,65.87,0.85,0.004,0.725,0.227,15.8,0.515
TXT_0256,system content content algorithm detection language generation content model,Human,Human,0.9,90.19,0.434,0.495,0.06,0.456,14.8,0.322
TXT_0257,learning learning network language data analysis algorithm network data generation system system analysis,AI,Gemini,0.448,54.66,0.929,0.1,0.582,0.953,13.5,0.154
TXT_0258,content model network pattern network algorithm algorithm system system language detection,AI,Human,0.274,84.23,0.59,0.754,0.13,0.85,9.5,0.453
TXT_0259,research detection content research language pattern pattern model model pattern network learning detection,AI,Claude,0.393,46.19,0.63,0.276,0.967,0.145,7.0,0.874
TXT_0260,data system algorithm language pattern research detection network pattern,Human,Claude,0.388,19.22,0.845,0.444,0.811,0.03,15.4,0.571
TXT_0261,algorithm data research data system pattern system language,AI,GPT-4,0.287,15.54,0.297,0.087,0.11,0.934,10.9,0.878
TXT_0262,content network algorithm generation generation algorithm analysis language network data analysis learning algorithm data,AI,GPT-4,0.269,14.62,0.354,0.287,0.122,0.527,14.4,0.196
TXT_0263,model detection content generation network system detection detection model,Human,GPT-4,0.861,44.21,0.906,0.781,0.594,0.538,8.8,0.167
TXT_0264,pattern content learning learning research generation generation generation,Human,GPT-4,0.07,40.35,0.901,0.152,0.345,0.781,8.7,0.576
TXT_0265,language analysis content model network content learning detection data system research algorithm data,AI,GPT-4,0.678,74.61,0.976,0.647,0.035,0.315,15.8,0.463
TXT_0266,generation learning pattern learning learning generation algorithm research data generation network research,AI,Human,0.173,76.85,0.902,0.917,0.542,0.482,10.7,0.66
TXT_0267,research algorithm system network generation research learning language content pattern learning analysis,Human,Human,0.345,14.58,0.127,0.68,0.388,0.969,6.5,0.795
TXT_0268,system learning pattern data algorithm network generation system learning learning algorithm algorithm model model,Human,GPT-4,0.062,29.9,0.824,0.811,0.101,0.672,7.4,0.751
TXT_0269,language language data analysis data research algorithm pattern language generation,Human,Claude,0.27,34.68,0.41,0.109,0.802,0.154,10.3,0.942
TXT_0270,network learning data pattern learning system analysis system analysis model learning analysis detection,Human,Human,0.768,59.29,0.991,0.251,0.915,0.133,5.5,0.398
TXT_0271,detection detection content language research pattern analysis analysis research learning learning,Human,Claude,0.885,23.01,0.472,0.895,0.757,0.204,10.1,0.206
TXT_0272,detection research language detection system content generation network content learning pattern generation model data,AI,Claude,0.222,22.05,0.554,0.715,0.822,0.767,9.6,0.551
TXT_0273,detection analysis research pattern research analysis detection pattern data network data generation,Human,Gemini,0.464,94.94,0.53,0.64,0.216,0.295,13.6,0.111
TXT_0274,generation data network pattern network learning analysis network generation network,Human,Gemini,0.47,82.38,0.322,0.664,0.264,0.021,8.9,0.289
TXT_0275,research generation learning system system model data analysis algorithm content learning,Human,GPT-4,0.874,26.26,0.075,0.414,0.209,0.944,15.8,0.208
TXT_0276,content research language language language content learning algorithm content learning network algorithm language,Human,Claude,0.763,46.59,0.896,0.045,0.765,0.17,7.0,0.397
TXT_0277,research language system data system language algorithm generation research,Human,Human,0.513,42.01,0.803,0.784,0.948,0.01,11.5,0.111
TXT_0278,generation content pattern research language content pattern learning algorithm detection learning model generation detection,AI,Gemini,0.671,81.19,0.14,0.679,0.717,0.237,6.0,0.032
TXT_0279,network learning model analysis detection system research model,Human,Gemini,0.847,55.92,0.777,0.473,0.881,0.235,13.1,0.657
TXT_0280,learning algorithm system network generation generation language algorithm content network,AI,Claude,0.01,21.51,0.626,0.9,0.639,0.422,15.9,0.61
TXT_0281,network model network data system generation network algorithm analysis,Human,Gemini,0.403,76.51,0.409,0.336,0.388,0.92,14.0,0.708
TXT_0282,data content network language content pattern content analysis model network,AI,Gemini,0.907,45.72,0.254,0.294,0.426,0.879,11.1,0.66
TXT_0283,generation content system research system analysis analysis algorithm pattern pattern model,AI,Human,0.74,33.66,0.86,0.873,0.075,0.457,10.3,0.114
TXT_0284,generation detection content system research analysis analysis model research research model,Human,Claude,0.543,43.79,0.7,0.797,0.031,0.411,14.2,0.291
TXT_0285,generation network network model research content model generation,Human,Gemini,0.53,54.8,0.548,0.515,0.695,0.555,15.3,0.13
TXT_0286,data pattern system research language algorithm algorithm research language,Human,Claude,0.348,40.88,0.61,0.131,0.438,0.243,15.9,0.843
TXT_0287,generation data data analysis system network learning generation learning learning,Human,Gemini,0.521,31.77,0.091,0.215,0.552,0.052,9.4,0.747
TXT_0288,algorithm algorithm network research learning language detection pattern content algorithm generation language generation,Human,Human,0.655,45.87,0.474,0.656,0.558,0.939,15.9,0.202
TXT_0289,model content algorithm data algorithm language analysis generation,AI,Claude,0.418,11.73,0.194,0.385,0.277,0.187,6.7,0.341
TXT_0290,data research system learning system content detection model detection data network,Human,Gemini,0.714,79.52,0.208,0.836,0.476,0.198,7.8,0.967
TXT_0291,detection algorithm language generation algorithm algorithm language language content learning,Human,Human,0.861,25.39,0.661,0.95,0.471,0.472,6.0,0.594
TXT_0292,network algorithm system content algorithm model generation language learning research language model,AI,Gemini,0.155,13.95,0.911,0.806,0.388,0.492,8.0,0.801
TXT_0293,data pattern data detection model detection algorithm research analysis language analysis system algorithm network,Human,Claude,0.452,68.83,0.404,0.378,0.821,0.018,13.4,0.265
TXT_0294,detection network learning research research data content language detection system analysis,AI,Gemini,0.408,79.65,0.208,0.789,0.451,0.148,14.4,0.21
TXT_0295,pattern system network network pattern model learning language research generation detection system detection network,Human,Claude,0.687,83.24,0.649,0.351,0.604,0.378,13.6,0.784
TXT_0296,data analysis learning content learning model generation network,AI,Claude,0.25,54.42,0.871,0.167,0.896,0.684,11.9,0.686
TXT_0297,pattern language pattern content learning research model research data language,Human,Gemini,0.64,28.48,0.748,0.033,0.866,0.228,10.7,0.681
TXT_0298,content detection model language language content network algorithm model research data,AI,Human,0.877,76.35,0.869,0.386,0.89,0.423,12.8,0.553
TXT_0299,language generation network language algorithm generation analysis network data learning model,AI,GPT-4,0.418,72.97,0.537,0.904,0.27,0.557,9.3,0.564
TXT_0300,data model generation detection content system research analysis,Human,Human,0.911,32.16,0.752,0.239,0.035,0.889,14.3,0.736
TXT_0301,language detection detection data analysis learning pattern model model data algorithm algorithm,Human,Human,0.993,91.31,0.14,0.207,0.261,0.326,12.4,0.27
TXT_0302,system research content learning language analysis algorithm system system data learning,Human,Gemini,0.106,19.39,0.348,0.97,0.279,0.134,12.7,0.353
TXT_0303,content research network data content network network learning learning,AI,Human,0.233,98.44,0.39,0.025,0.909,0.489,10.9,0.872
TXT_0304,analysis system content data language pattern model data analysis research detection,AI,Human,0.95,87.42,0.511,0.786,0.649,0.747,14.7,0.309
TXT_0305,system detection detection model algorithm research learning network algorithm data,AI,GPT-4,0.958,71.91,0.929,0.321,0.082,0.11,7.8,0.546
TXT_0306,detection learning analysis content algorithm algorithm generation research system research,Human,Human,0.098,94.49,0.874,0.037,0.135,0.425,9.2,0.703
TXT_0307,data data data generation data content language learning,Human,GPT-4,0.015,75.01,0.135,0.918,0.156,0.018,13.6,1.0
TXT_0308,system content detection language system content language data learning algorithm research network,AI,Gemini,0.161,27.14,0.173,0.14,0.63,0.034,10.4,0.435
TXT_0309,learning algorithm analysis content analysis algorithm learning content detection network data content,Human,GPT-4,0.996,49.79,0.358,0.552,0.735,0.483,14.8,0.428
TXT_0310,content learning detection learning language algorithm model content pattern research,AI,Claude,0.18,16.44,0.291,0.274,0.86,0.298,8.8,0.843
TXT_0311,algorithm system pattern analysis language data detection model,Human,Claude,0.503,45.07,0.615,0.065,0.941,0.845,9.1,0.806
TXT_0312,network network learning network data language analysis network pattern content pattern content,Human,GPT-4,0.848,76.74,0.903,0.05,0.202,0.602,14.8,0.731
TXT_0313,data analysis model algorithm analysis algorithm pattern system algorithm language research,AI,Claude,0.02,44.78,0.962,0.116,0.31,0.454,10.1,0.463
TXT_0314,content data generation learning pattern research algorithm network data research learning,Human,Gemini,0.604,39.73,0.654,0.071,0.24,0.408,10.7,0.324
TXT_0315,pattern data learning system system language language learning,Human,Claude,0.277,63.58,0.838,0.761,0.359,0.497,8.7,0.609
TXT_0316,language pattern data research language model algorithm model detection system content analysis algorithm,Human,GPT-4,0.862,88.5,0.525,0.486,0.915,0.04,8.0,0.876
TXT_0317,research research research content model analysis pattern language research generation detection algorithm data language,Human,Gemini,0.283,14.28,0.208,0.343,0.575,0.893,12.2,0.884
TXT_0318,analysis content pattern pattern analysis data algorithm data pattern,Human,Claude,0.687,44.69,0.525,0.418,0.738,0.998,6.3,0.108
TXT_0319,algorithm analysis pattern pattern research analysis analysis algorithm detection learning language,AI,Gemini,0.674,24.24,0.555,0.929,0.49,0.181,14.7,0.428
TXT_0320,generation system network network analysis generation detection research,Human,GPT-4,0.221,72.58,0.742,0.911,0.029,0.12,13.6,0.465
TXT_0321,content content algorithm network analysis content analysis algorithm network data detection system system,AI,Claude,0.035,19.52,0.22,0.716,0.064,0.144,7.1,0.978
TXT_0322,system pattern detection data detection pattern pattern analysis,Human,Gemini,0.409,69.83,0.368,0.885,0.538,0.661,12.6,0.678
TXT_0323,data language algorithm algorithm pattern network pattern language pattern analysis pattern,Human,Gemini,0.289,35.76,0.364,0.32,0.719,0.661,11.6,0.407
TXT_0324,system language generation network algorithm content detection system pattern,AI,Claude,0.809,27.9,0.959,0.381,0.215,0.848,7.0,0.026
TXT_0325,system analysis learning model model model learning analysis learning model network data language algorithm,AI,Gemini,0.8,94.27,0.444,0.614,0.722,0.752,8.0,0.565
TXT_0326,analysis analysis language generation data content system model pattern content generation,Human,Gemini,0.457,11.67,0.755,0.624,0.811,0.45,9.5,0.096
TXT_0327,data detection pattern generation model data research content content,Human,GPT-4,0.607,49.4,0.751,0.482,0.412,0.613,12.7,0.834
TXT_0328,language data learning research detection network model pattern research data algorithm model analysis content,AI,GPT-4,0.604,11.95,0.266,0.401,0.746,0.688,12.0,0.753
TXT_0329,language data detection analysis system pattern generation network network analysis content system algorithm,AI,GPT-4,0.827,53.52,0.572,0.986,0.404,0.513,10.9,0.461
TXT_0330,research language network research detection model learning data,AI,GPT-4,0.425,55.09,0.894,0.821,0.678,0.476,13.5,0.429
TXT_0331,system content network research generation language language model data data language language,AI,GPT-4,0.275,38.95,0.475,0.435,0.764,0.645,13.3,0.897
TXT_0332,content system algorithm detection generation detection content research learning language analysis algorithm system model,Human,GPT-4,0.265,21.89,0.945,0.727,0.992,0.557,11.8,0.288
TXT_0333,network system learning network algorithm analysis analysis learning data pattern generation,Human,Claude,0.536,43.87,0.214,0.27,0.345,0.644,13.7,0.249
TXT_0334,model language data detection detection detection analysis analysis research network algorithm,Human,GPT-4,0.449,70.5,0.074,0.1,0.411,0.613,8.7,0.939
TXT_0335,learning algorithm language research analysis learning analysis pattern model,Human,Gemini,0.44,80.42,0.891,0.352,0.166,0.719,14.7,0.809
TXT_0336,algorithm algorithm detection data detection pattern learning generation detection research detection detection,Human,Claude,0.091,57.77,0.848,0.403,0.204,0.643,11.8,0.821
TXT_0337,data model research detection pattern network generation network generation,AI,Gemini,0.719,63.09,0.993,0.017,0.693,0.52,14.0,0.195
TXT_0338,network generation language network data system research learning model language content analysis,AI,GPT-4,0.214,28.06,0.679,0.815,0.917,0.682,11.0,0.143
TXT_0339,pattern detection learning analysis pattern research learning network network content analysis pattern,AI,GPT-4,0.197,35.86,0.937,0.359,0.395,0.449,7.4,0.026
TXT_0340,pattern research network detection system data data generation model,Human,Gemini,0.413,24.57,0.827,0.58,0.18,0.242,11.0,0.237
TXT_0341,data generation analysis network language network language detection system learning data analysis,AI,Gemini,0.228,32.44,0.844,0.074,0.285,0.001,9.1,0.774
TXT_0342,algorithm pattern data pattern model detection learning data pattern analysis data,Human,Gemini,0.584,30.24,0.569,0.175,0.455,0.56,12.7,0.24
TXT_0343,model algorithm research content algorithm generation data network system network algorithm,Human,Human,0.371,56.75,0.382,0.89,0.291,0.591,10.2,0.729
TXT_0344,network analysis network learning research data detection network model detection research,Human,Human,0.449,60.64,0.935,0.609,0.234,0.972,14.2,0.252
TXT_0345,language research network research detection system language network analysis algorithm learning content,AI,Human,0.537,95.05,0.432,0.95,0.736,0.361,12.5,0.395
TXT_0346,generation language research analysis data data generation language language learning research system generation,Human,Human,0.204,27.6,0.539,0.999,0.008,0.394,12.5,0.983
TXT_0347,research detection analysis algorithm system detection detection content data model analysis,Human,Claude,0.156,67.75,0.446,0.372,0.539,0.202,7.4,0.245
TXT_0348,network detection model language data learning system pattern data content,AI,GPT-4,0.88,83.55,0.565,0.299,0.794,0.071,15.8,0.376
TXT_0349,pattern analysis analysis analysis analysis algorithm data research data detection network,Human,Gemini,0.434,60.42,0.471,0.858,0.266,0.773,14.3,0.301
TXT_0350,pattern system model research pattern research detection data research generation generation network,AI,GPT-4,0.412,32.95,0.048,0.999,0.603,0.25,13.7,0.11
TXT_0351,model content algorithm data algorithm content data data model algorithm generation,Human,Gemini,0.036,33.63,0.882,0.63,0.669,0.609,8.6,0.49
TXT_0352,algorithm system system data analysis learning content network,AI,GPT-4,0.498,13.53,0.444,0.795,0.655,0.688,10.9,0.379
TXT_0353,network pattern algorithm algorithm network language content analysis,Human,Claude,0.554,37.49,0.589,0.782,0.446,0.471,6.5,0.695
TXT_0354,data model algorithm system content model learning research detection data algorithm,Human,Human,0.559,77.01,0.139,0.355,0.347,0.876,10.9,0.818
TXT_0355,language pattern pattern model pattern pattern data detection research model,AI,GPT-4,0.707,14.28,0.003,0.574,0.836,0.444,6.6,0.544
TXT_0356,system model generation language research language model model,Human,Gemini,0.177,29.74,0.245,0.833,0.758,0.285,11.1,0.032
TXT_0357,pattern algorithm language model system data algorithm system algorithm,AI,GPT-4,0.252,73.56,0.705,0.688,0.321,0.896,12.1,0.619
TXT_0358,system detection research pattern system network system analysis analysis content network pattern network,Human,Claude,0.811,80.44,0.099,0.021,0.103,0.862,9.3,0.055
TXT_0359,network data content content research analysis system system generation generation,AI,Claude,0.947,50.98,0.909,0.337,0.072,0.164,10.5,0.616
TXT_0360,algorithm research learning learning model model language learning network algorithm research,Human,GPT-4,0.136,72.83,0.215,0.144,0.094,0.026,14.6,0.685
TXT_0361,learning pattern detection system algorithm model language system model model algorithm model detection,Human,Human,0.498,44.92,0.205,0.233,0.583,0.09,6.2,0.198
TXT_0362,language analysis content analysis generation pattern generation model,Human,Gemini,0.214,24.39,0.182,0.905,0.052,0.287,13.7,0.819
TXT_0363,research analysis system algorithm model algorithm content research network language content pattern language,AI,Claude,0.06,45.83,0.014,0.037,0.337,0.972,6.9,0.911
TXT_0364,content analysis detection data content detection model language learning learning,AI,Claude,0.326,62.2,0.772,0.22,0.753,0.559,5.4,0.813
TXT_0365,data pattern data analysis research algorithm language data network,AI,GPT-4,0.144,95.32,0.875,0.31,0.294,0.373,7.0,0.305
TXT_0366,generation system generation pattern analysis language detection content,AI,Claude,0.71,16.19,0.614,0.617,0.763,0.889,13.4,0.587
TXT_0367,generation system network network detection pattern network analysis algorithm language detection analysis learning content,AI,Claude,0.534,55.67,0.188,0.534,0.745,0.453,9.5,0.915
TXT_0368,content network learning data data language network generation analysis network research system language,Human,Gemini,0.144,39.6,0.285,0.218,0.246,0.315,14.6,0.321
TXT_0369,data model data language content language system content,Human,Human,0.009,55.75,0.476,0.164,0.729,0.941,10.8,0.82
TXT_0370,model network pattern learning model content content research detection research algorithm research,Human,Gemini,0.808,12.16,0.954,0.237,0.748,0.85,5.2,0.009
TXT_0371,learning pattern system pattern pattern model content algorithm,Human,Human,0.176,38.17,0.247,0.503,0.397,0.844,12.9,0.004
TXT_0372,learning model data language research language language network language algorithm research research analysis learning,Human,Gemini,0.606,83.79,0.732,0.271,0.21,0.512,6.2,0.76
TXT_0373,language detection data pattern content analysis research research generation network language network,AI,GPT-4,0.337,59.85,0.439,0.948,0.521,0.789,13.7,0.761
TXT_0374,pattern network research algorithm model research analysis learning generation,Human,Claude,0.585,50.55,0.298,0.464,0.921,0.179,6.8,0.789
TXT_0375,content data research analysis language research learning algorithm pattern detection,AI,Human,0.316,35.7,0.456,0.059,0.64,0.573,8.8,0.93
TXT_0376,learning generation language generation research analysis learning system,Human,GPT-4,0.087,36.82,0.071,0.729,0.173,0.984,13.4,0.118
TXT_0377,analysis algorithm language generation language detection research network generation detection content,AI,Claude,0.223,44.48,0.799,0.329,0.683,0.291,15.5,0.232
TXT_0378,network research system network content analysis system generation system,AI,Claude,0.188,85.2,0.243,0.653,0.427,0.794,9.1,0.904
TXT_0379,content language detection network learning pattern system learning data content detection,AI,Claude,0.428,97.05,0.725,0.28,0.592,0.49,14.1,0.177
TXT_0380,system content algorithm algorithm pattern research detection learning,Human,Gemini,0.658,49.48,0.068,0.571,0.734,0.04,7.1,0.682
TXT_0381,pattern content pattern model model language pattern language system language,Human,GPT-4,0.264,45.4,0.955,0.772,0.515,0.763,13.9,0.53
TXT_0382,learning generation algorithm content system network algorithm learning model,Human,GPT-4,0.012,86.19,0.193,0.928,0.814,0.169,12.2,0.083
TXT_0383,language research content analysis detection generation language system generation content,Human,Claude,0.519,48.42,0.883,0.261,0.722,0.631,7.1,0.285
TXT_0384,content generation detection pattern data detection pattern network algorithm,AI,Human,0.606,59.68,0.809,0.335,0.615,0.086,8.3,0.52
TXT_0385,language detection detection analysis analysis learning research algorithm research language content,AI,GPT-4,0.963,30.78,0.968,0.464,0.151,0.947,6.4,0.852
TXT_0386,content model generation analysis model network learning learning content detection algorithm research analysis model,AI,Gemini,0.589,76.92,0.478,0.927,0.836,0.292,9.2,0.708
TXT_0387,detection model pattern generation network network research research research model generation pattern data,AI,Human,0.471,57.88,0.727,0.901,0.936,0.226,7.2,0.622
TXT_0388,research pattern algorithm language pattern detection language analysis analysis detection pattern model detection,Human,Human,0.573,82.81,0.371,0.09,0.137,0.129,12.1,0.496
TXT_0389,language language research content learning data language algorithm detection generation content language detection network,AI,Human,0.928,80.27,0.184,0.132,0.488,0.946,15.9,0.299
TXT_0390,model data system system research research model generation,Human,Human,0.828,29.35,0.443,0.496,0.259,0.712,5.1,0.119
TXT_0391,learning language data pattern detection pattern model analysis detection detection network model model,AI,GPT-4,0.323,74.41,0.166,0.107,0.755,0.742,11.0,0.409
TXT_0392,algorithm pattern generation algorithm learning analysis detection system analysis detection learning algorithm model research,AI,Claude,0.237,82.0,0.982,0.346,0.722,0.499,11.3,0.029
TXT_0393,research language content network generation learning network language language generation detection network,AI,Human,0.263,41.15,0.096,0.148,0.141,0.475,15.1,0.211
TXT_0394,language algorithm model system algorithm detection research network detection,Human,Gemini,0.504,25.53,0.589,0.636,0.877,0.11,10.6,0.432
TXT_0395,pattern data language pattern pattern generation learning content,Human,Gemini,0.744,10.24,0.626,0.949,0.181,0.56,11.0,0.419
TXT_0396,algorithm system detection model data analysis content pattern system analysis data learning learning,AI,Claude,0.503,50.58,0.538,0.997,0.797,0.247,10.2,0.044
TXT_0397,data data analysis system detection generation analysis model pattern learning pattern learning,AI,GPT-4,0.068,41.72,0.662,0.375,0.457,0.977,8.0,0.589
TXT_0398,detection model learning analysis model analysis generation generation pattern learning learning system,AI,Claude,0.724,59.94,0.116,0.599,0.328,0.797,5.6,0.55
TXT_0399,detection detection content content network generation analysis analysis research,Human,Human,0.806,26.92,0.555,0.856,0.158,0.413,9.5,0.078
TXT_0400,algorithm pattern content pattern learning network detection algorithm data,Human,GPT-4,0.289,87.37,0.287,0.117,0.168,0.151,5.6,0.943
TXT_0401,data language generation data data pattern language system system system generation algorithm,Human,GPT-4,0.664,33.2,0.94,0.69,0.662,0.785,11.1,0.099
TXT_0402,network learning system generation learning model learning pattern pattern algorithm content data,AI,Human,0.427,30.38,0.762,0.409,0.55,0.122,8.4,0.855
TXT_0403,language content detection learning generation data network analysis data algorithm detection algorithm pattern learning,Human,Gemini,0.889,53.26,0.973,0.206,0.122,0.189,10.9,0.0
TXT_0404,pattern algorithm algorithm generation learning data model content analysis,AI,Human,0.845,54.9,0.038,0.403,0.113,0.212,6.5,0.882
TXT_0405,network algorithm learning system pattern network network content content pattern content language research research,Human,Claude,0.525,29.36,0.285,0.076,0.072,0.557,15.3,0.02
TXT_0406,content generation algorithm system system research network pattern learning data data research,AI,Human,0.692,34.47,0.195,0.695,0.744,0.787,14.8,0.758
TXT_0407,learning language language research data learning content network pattern system generation model network content,AI,Gemini,0.883,25.27,0.011,0.253,0.712,0.314,7.1,0.362
TXT_0408,data content detection research learning system algorithm research network research,Human,Human,0.496,74.66,0.242,0.311,0.058,0.085,8.8,0.738
TXT_0409,algorithm analysis detection system generation generation detection model content analysis detection generation,AI,Claude,0.313,79.31,0.679,0.121,0.56,0.465,11.7,0.402
TXT_0410,content analysis learning learning content detection network network research analysis analysis content data,AI,Claude,0.754,51.61,0.231,0.865,0.085,0.748,6.1,0.071
TXT_0411,analysis content algorithm model algorithm system detection research analysis system generation,AI,Gemini,0.22,74.27,0.509,0.493,0.904,0.222,8.9,0.768
TXT_0412,pattern content analysis model detection content pattern content pattern research research learning learning network,Human,Claude,0.389,76.23,0.888,0.572,0.907,0.22,7.8,0.071
TXT_0413,analysis analysis language pattern system analysis analysis data generation learning,AI,Claude,0.866,22.44,0.694,0.569,0.698,0.947,15.1,0.922
TXT_0414,model analysis data detection learning data algorithm generation analysis model pattern,Human,Human,0.724,96.96,0.395,0.41,0.926,0.954,14.4,0.051
